@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
6,3.601104,4.142857,8.476191,2.349863,-1.251241,3.939394,6.996212,1.643494,-1.95761,-0.706369,2.291829,3.285597,1.493731,-2.107372,-0.856132,-0.149762,1.556738,1.925568,Spot
3,3.00815,3,5.333333,2.147757,-0.860393,3.151515,5.320076,1.57874,-1.429411,-0.569018,2.042802,3.13488,1.465023,-1.543128,-0.682734,-0.113717,1.506586,1.852719,Spot
4,3.403272,4.571429,3.952381,2.235554,-1.167718,3.454545,6.630682,1.597215,-1.806057,-0.638339,2.198444,3.261248,1.472386,-1.930887,-0.763168,-0.12483,1.515704,1.871776,Spot
4,2.53464,3,6,1.946244,-0.588396,2.363636,3.301136,1.528235,-1.006405,-0.418009,1.949416,3.063838,1.443041,-1.091599,-0.503203,-0.085195,1.471631,1.807355,Spot
8,2.928585,3.857143,4.476191,2.028977,-0.899608,2.848485,3.570076,1.545012,-1.383573,-0.483965,2.050584,3.1029,1.450573,-1.478012,-0.578404,-0.094439,1.486322,1.816082,Spot
2,2.696801,2.714286,7.571429,2.121292,-0.575509,2.818182,4.590909,1.49633,-1.200471,-0.624962,2.167315,3.913302,1.256343,-1.440458,-0.864949,-0.239987,1.463019,2.362291,Spot
2,2.073512,2,2.666667,1.900776,-0.172736,2.242424,3.689394,1.462407,-0.611104,-0.438369,1.961089,3.646918,1.251981,-0.821531,-0.648796,-0.210427,1.448835,2.377259,Spot
1,1.610695,1.571429,1.619048,1.662604,0.051909,1.636364,1.613636,1.416104,-0.194591,-0.2465,1.715953,2.977596,1.246405,-0.36429,-0.416199,-0.169699,1.431611,2.356953,Spot
4,3.801375,5,2.666667,2.525851,-1.275524,3.848485,5.132576,1.573815,-2.22756,-0.952036,2.548638,4.451726,1.272152,-2.529223,-1.253699,-0.301663,1.503039,2.433594,Spot
4,3.413672,3.857143,1.142857,2.394554,-1.019118,3.727273,5.892045,1.556374,-1.857298,-0.83818,2.381323,4.393087,1.268689,-2.144983,-1.125865,-0.287685,1.489362,2.428422,Spot
5,2.85734,3.857143,2.142857,2.15462,-0.70272,2.69697,3.155303,1.520145,-1.337196,-0.634476,2.217899,4.249209,1.263995,-1.593345,-0.890625,-0.25615,1.474671,2.423839,Spot
4,2.165124,2.428571,2.285714,1.873431,-0.291693,2.060606,2.746212,1.469403,-0.695721,-0.404029,1.88716,3.459873,1.258025,-0.907099,-0.615407,-0.211378,1.452888,2.391849,Spot
2,3.236117,3.714286,2.904762,2.487581,-0.748537,3.393939,4.433712,1.589737,-1.646381,-0.897844,2.599222,4.530156,1.287768,-1.94835,-1.199813,-0.301969,1.514184,2.482059,Spot
5,3.928193,4.428571,3.619048,2.689165,-1.239028,3.939394,4.621212,1.617257,-2.310936,-1.071908,2.785992,4.668866,1.286714,-2.641479,-1.402451,-0.330543,1.516211,2.509367,Spot
