@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
2,2.099247,2.142857,1.142857,1.871947,-0.227301,2.060606,1.746212,1.828295,-0.270953,-0.043652,1.731915,2.026114,1.809672,-0.289575,-0.062274,-0.018622,1.72175,2.1722,NotSpot
2,2.202229,2.285714,1.571429,1.850148,-0.352081,2.333333,2.416667,1.819805,-0.382424,-0.030344,1.685106,2.002982,1.807166,-0.395064,-0.042983,-0.012639,1.72567,2.106393,NotSpot
4,2.218611,3,3.333333,1.804767,-0.413844,2.212121,1.859848,1.811211,-0.407399,0.006445,1.689362,1.9501,1.804676,-0.413934,-0.00009,-0.006535,1.735467,2.147624,NotSpot
1,1.935675,2.142857,1.47619,1.744452,-0.191223,1.969697,2.030303,1.803441,-0.132233,0.05899,1.676596,2.006074,1.80211,-0.133565,0.057658,-0.001332,1.730242,2.182739,NotSpot
3,1.684276,1.285714,1.571429,1.692138,0.007862,1.757576,1.314394,1.797646,0.11337,0.105508,1.565957,1.879178,1.799636,0.115361,0.107499,0.001991,1.718485,2.16841,NotSpot
1,1.665493,1.571429,0.619048,1.671174,0.005682,1.848485,1.757576,1.794394,0.128901,0.12322,1.591489,2.003346,1.797081,0.131588,0.125906,0.002686,1.707381,2.161377,NotSpot
1,1.739868,1.714286,1.571429,1.693157,-0.046711,1.848485,2.007576,1.794131,0.054263,0.100974,1.578723,1.928605,1.794572,0.054704,0.101415,0.000441,1.706728,2.178641,NotSpot
4,1.894106,1.714286,2.571429,1.751432,-0.142674,2.090909,2.397727,1.796362,-0.097744,0.04493,1.66383,2.557447,1.792046,-0.10206,0.040614,-0.004316,1.692358,2.065425,NotSpot
3,2.113593,3.285714,3.238095,1.824609,-0.288984,1.848485,2.195076,1.800204,-0.313389,-0.024405,1.765957,2.769776,1.789527,-0.324066,-0.035082,-0.010677,1.698236,2.080121,NotSpot
4,2.161332,2.285714,1.238095,1.885178,-0.276154,2.393939,3.121212,1.804697,-0.356635,-0.080481,1.817021,2.876632,1.78705,-0.374282,-0.098128,-0.017647,1.690398,2.075326,NotSpot
