@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
10362,28337.875,-6319.143066,30207,307211040,19279.585938,-9058.289063,-4001.36499,31007.273438,359813984,10677.584961,-17660.289063,-8602.000977,-499.619843,19595.800781,276217120,7678.833496,-20659.041016,-11600.751953,-2998.751465,-40.398457,9718.731445,74613432,Spot
46432,37647.273438,-19762.40625,43356,358844576,21444.945313,-16202.328125,-5505.82666,40596.425781,391361728,10902.413086,-26744.859375,-10542.532227,-548.168457,21179.828125,274483744,7710.296875,-29936.976563,-13734.648438,-3192.116211,-41.612659,9770.640625,74536952,Spot
65535,38818.574219,-24914.1875,51383.855469,322155680,21615.5,-17203.074219,-5577.744629,39861.847656,374580384,10953.499023,-27865.074219,-10662.000977,-552.11676,21498.595703,260325856,7734.088379,-31084.486328,-13881.412109,-3219.410645,-42.245949,9793.592773,74554992,Spot
53384,30373.931641,-12713.767578,36400.570313,390848320,19789.837891,-10584.09375,-4231.734375,29578.726563,421571616,10826.111328,-19547.820313,-8963.726563,-510.740173,20372.183594,262391424,7749.182129,-22624.75,-12040.65625,-3076.929199,-42.270081,9833.378906,74798840,Spot
10671,20558.0625,1623.473633,16394.857422,239372640,16865.005859,-3693.056641,-2583.223145,21413.242188,299070624,10358.112305,-10199.950195,-6506.893555,-432.8508,17694.416016,277210720,7650.281738,-12907.78125,-9214.724609,-2707.830566,-38.77153,9661.999023,74406752,Spot
49092,32946.648438,-14124.050781,34770,451317088,20158.673828,-12787.974609,-4723.053223,34959.210938,431398464,10723.429688,-22223.21875,-9435.244141,-514.80304,20022.427734,286557632,7688.373047,-25258.275391,-12470.300781,-3035.056641,-40.462448,9676.72168,74399824,Spot
40141,41160.609375,-26129.574219,55831.429688,111637848,22060.666016,-19099.943359,-5996.081055,43202.453125,395736512,10941.598633,-30219.011719,-11119.067383,-560.633057,21139.626953,279286976,7719.250488,-33441.359375,-14341.416016,-3222.348145,-41.628036,9791.504883,74549520,Spot
65535,38914.933594,-24035.837891,50196.285156,390062336,21810.154297,-17104.779297,-5639.535645,40865.605469,384693600,10983.057617,-27931.875,-10827.09668,-560.62793,21569.824219,273930880,7742.366699,-31172.566406,-14067.787109,-3240.690918,-42.211857,9789.988281,74828328,Spot
27467,27799.683594,-6548.490723,31000.285156,410596064,19600.660156,-8199.023438,-3922.776855,28125.455078,366874272,10844.878906,-16954.804688,-8755.78125,-515.075012,20761.439453,269659936,7756.682617,-20043,-11843.977539,-3088.196289,-42.185246,9812.517578,74931672,Spot
12429,23257.392578,-4106.107422,23132.285156,265037840,16957.318359,-6300.074219,-2936.185547,24389.96875,371070656,10284.452148,-12972.94043,-6672.866211,-421.082581,17385.275391,270877888,7652.211914,-15605.180664,-9305.106445,-2632.240234,-38.399422,9576.275391,74401144,Spot
