@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
10,5.996007,-0.458014,10,6.285714,7,9.904762,4.757801,-1.238206,-0.941982,16,5.757576,5,15.501894,Spots
8,7.016359,-0.774928,11,7.285714,8,10.571428,5.076841,-1.939518,-1.179688,17,7,8,22.5,Spots
6,7.954876,-2.620816,17,8.857142,8,19.142857,5.009604,-2.945271,-1.283019,27,8.545455,8,39.75568,Spots
9,7.764548,-4.225241,27,9.571428,6,74.285713,4.524102,-3.240446,-1.158043,27,7.969697,6,45.155304,Spots
3,5.259705,0.884435,11,4.857143,3,12.476191,4.533112,-0.726593,-0.814211,20,5.333333,5,23.729166,Spots
7,6.446924,-0.187205,10,6.285714,7,7.904762,5.100203,-1.346721,-1.06866,19,6.363636,7,26.738636,Spots
7,7.257129,-0.629687,14,7.857143,8,12.476191,5.333401,-1.923728,-1.241662,18,7.181818,7,26.59091,Spots
8,7.570532,-1.378696,11,6.428571,6,7.619048,5.147421,-2.423111,-1.250512,27,8.272727,7,41.829544,Spots
5,6.905302,-2.396901,21,8.571428,8,34.952381,4.549573,-2.355729,-1.043312,27,7.272727,5,37.329544,Spots
3,1.660769,-0.480993,3,1.428571,2,1.285714,1.555915,-0.104854,0.009499,8,1.727273,1,4.704545,Spots
2,2.681524,-1.325541,8,4.571429,4,7.619048,2.210896,-0.470628,-0.131115,9,2.545455,2,6.380682,Spots
7,3.534,-0.642915,7,2.857143,2,6.476191,3.004209,-0.529791,-0.34153,10,3.575758,2,9.001894,Spots
1,4.249443,1.048991,7,4,2,8,3.831672,-0.417771,-0.591745,13,4.181818,2,12.528409,Spots
2,5.210542,1.504433,9,3.857143,3,10.809524,4.560009,-0.650533,-0.844792,16,5.545455,5,18.693182,Spots
7,6.470122,-0.593353,16,7.428571,7,32.285713,5.048535,-1.421587,-1.052017,17,6.363636,6,23.551136,Spots
14,7.190374,-2.113546,16,8.285714,7,28.238094,5.17912,-2.011255,-1.146983,16,6.787879,7,21.422348,Spots
6,6.840016,-1.531023,14,8,8,17,4.893485,-1.946532,-1.065558,21,6.939394,6,26.308712,Spots
2,1.475409,-0.273939,8,2.285714,1,7.238095,1.49506,0.019651,0.019475,8,1.181818,1,2.715909,Spots
8,2.47028,-1.042042,8,2.714286,2,6.904762,2.116669,-0.353611,-0.12034,8,2.393939,2,6.121212,Spots
1,3.388291,-0.604515,8,4.857143,6,9.809524,2.853262,-0.53503,-0.317135,8,3.333333,2,7.104167,Spots
7,4.149699,0.068756,7,3.714286,3,6.904762,3.598683,-0.551015,-0.534258,14,4.151515,3,10.132576,Spots
5,4.889719,0.718398,7,4.428571,5,3.619048,4.226308,-0.663412,-0.737426,17,4.787879,4,16.734848,Spots
5,5.803754,-0.346283,9,6,6,5.333333,4.609317,-1.194437,-0.883367,17,5.848485,5,22.882576,Spots
8,6.219716,-1.554183,14,7.571429,5,15.619047,4.649742,-1.569974,-0.91226,19,6.212121,5,25.109848,Spots
1,1.144936,0.286153,4,1.142857,1,2.142857,1.34653,0.201594,0.045938,8,1.242424,1,3.501894,Spots
4,1.990115,-0.414417,8,2.857143,1,10.142858,1.882707,-0.107408,-0.066424,8,1.575758,1,4.251894,Spots
6,2.874844,-0.647953,6,3.142857,3,5.476191,2.503658,-0.371186,-0.218791,8,2.848485,2,7.132576,Spots
3,3.497205,-0.123986,8,4.428571,4,6.952381,3.113425,-0.38378,-0.375375,9,3.272727,2,6.642045,Spots
4,3.985633,0.471431,6,4,4,3,3.605138,-0.380495,-0.510424,13,3.909091,3,9.897727,Spots
0,1.491097,0.063224,6,1.857143,1,5.476191,1.570453,0.079356,0.005875,8,1.515152,1,4.195076,Spots
6,2.144272,-0.498109,6,2.714286,2,5.904762,2.044629,-0.099644,-0.085004,8,1.818182,1,4.028409,Spots
2,2.440712,0.478762,6,2.285714,2,3.571429,2.495448,0.054736,-0.170169,8,2.30303,2,4.967803,Spots
2,3.747402,-0.393553,8,3.571429,3,6.285714,2.960947,-0.786455,-0.477061,16,3.727273,3,10.267045,Spots
6,3.984955,-1.053559,7,4.142857,5,4.476191,2.909032,-1.075923,-0.488014,16,4.606061,3,17.683712,Spots
7,3.644411,-1.631717,12,4.857143,4,15.142858,2.637965,-1.006446,-0.393136,13,3.393939,2,9.933712,Spots
8,5.809022,-1.959996,16,6.857143,6,20.142857,3.834329,-1.974694,-0.881287,19,6.030303,5,18.717804,Spots
5,6.227651,-2.905223,16,8,6,20.333334,3.806799,-2.420851,-0.90971,18,6.212121,5,20.297348,Spots
12,5.521271,-2.854118,13,7.142857,7,18.476191,3.469157,-2.052114,-0.765708,21,5.424242,4,20.814394,Spots
1,3.863622,-0.559134,12,4.571429,4,13.952381,2.905439,-0.958184,-0.503551,13,3.69697,3,10.092803,Spots
3,6.438089,-1.124829,14,6.285714,6,13.571428,4.268727,-2.169362,-1.059591,19,7,6,18.3125,Spots
7,8.022461,-3.656207,19,10,8,30.666666,4.653335,-3.369126,-1.304597,19,8.575758,7,23.376894,Spots
16,8.754874,-5.838721,18,10.571428,10,27.619047,4.665045,-4.089829,-1.358316,21,9.151515,8,29.570076,Spots
13,7.746726,-4.932638,21,10.714286,12,44.57143,4.280557,-3.466169,-1.17601,21,7.909091,6,27.085228,Spots
6,5.618955,-1.881049,13,5.857143,6,14.142858,3.602594,-2.016361,-0.834777,21,6.272727,5,29.017046,Spots
6,3.876239,-1.375601,9,5,5,5.333333,2.807459,-1.06878,-0.475211,13,3.848485,3,12.070076,Spots
2,4.04456,-0.685932,14,4.285714,3,19.571428,3.139132,-0.905428,-0.501086,14,4.151515,3,14.820076,Spots
4,5.93648,-1.903989,14,7.428571,7,16.619047,3.995896,-1.940584,-0.890098,19,6.242424,6,17.501894,Spots
14,7.98433,-3.435007,19,8.857142,8,33.809525,4.763423,-3.220906,-1.311363,19,8.090909,8,19.335228,Spots
19,9.985939,-6.397471,19,12.714286,14,27.904762,5.251341,-4.734598,-1.631801,21,10.060606,9,28.183712,Spots
18,10.827152,-8.637984,21,16.857143,17,9.809524,5.30896,-5.518192,-1.712961,21,10.848485,10,27.445076,Spots
21,9.66803,-7.475861,21,13.428572,13,30.285715,4.906557,-4.761473,-1.512178,21,9.969697,9,33.905304,Spots
7,7.32175,-4.13821,21,10.285714,9,45.904762,4.159313,-3.162437,-1.125037,21,7.363636,6,29.363636,Spots
9,5.283281,-3.152246,12,7.428571,7,7.619048,3.262555,-2.020726,-0.704755,21,5.454545,4,23.380682,Spots
7,3.450327,-1.813516,9,4.285714,5,10.904762,2.398886,-1.051441,-0.357647,12,3.454545,3,9.880682,Spots
3,3.809441,0.20033,7,3.428571,3,4.952381,3.187173,-0.622268,-0.49856,14,3.939394,3,10.558712,Spots
7,5.984061,-1.295823,9,5.285714,6,7.571429,4.106471,-1.87759,-0.930137,16,6.454545,6,17.505682,Spots
9,8.659136,-4.330262,16,10.571428,9,11.952381,4.949109,-3.710027,-1.409243,19,8.969697,8,23.905304,Spots
16,10.935712,-7.625232,19,14.428572,16,12.952381,5.50249,-5.433222,-1.775239,19,11.484848,12,20.945076,Spots
16,11.508439,-8.258239,19,14.428572,16,18.952381,5.600205,-5.908234,-1.876458,21,12.666667,13,26.166666,Spots
13,10.246181,-6.878367,21,15,16,20,5.209563,-5.036618,-1.679111,21,10.727273,11,30.079546,Spots
18,8.169773,-5.181998,18,9.857142,12,29.142857,4.449358,-3.720415,-1.288235,21,8.333333,6,30.854166,Spots
12,6.176189,-4.320348,18,9.142858,9,35.476189,3.518808,-2.657381,-0.853605,18,6.060606,5,21.183712,Spots
6,4.158746,-2.577613,12,6.142857,6,15.142858,2.606042,-1.552704,-0.47733,18,4.363636,3,19.051136,Spots
2,3.404593,0.78214,6,2.857143,2,2.809524,3.051674,-0.352919,-0.44429,8,3.363636,3,5.363636,Spots
6,5.541198,-0.647575,8,5.428571,6,4.619048,3.958168,-1.58303,-0.869245,16,5.636364,5,13.426136,Spots
8,8.307186,-3.777262,16,9.428572,9,18.619047,4.801302,-3.505884,-1.348145,19,8.939394,8,22.683712,Spots
16,10.656917,-7.676768,19,14.857142,16,11.476191,5.366659,-5.290258,-1.715026,19,11.212121,10,22.547348,Spots
19,11.142511,-8.204179,19,15.857142,16,11.142858,5.487783,-5.654728,-1.822988,19,11.333333,12,24.916666,Spots
18,9.92215,-6.264741,19,12.428572,13,28.952381,5.131486,-4.790663,-1.646931,21,10.151515,10,33.945076,Spots
12,8.238941,-5.511998,18,12.571428,14,31.285715,4.410028,-3.828913,-1.286577,19,8.30303,7,33.967804,Spots
14,6.493127,-5.334235,15,10,12,23,3.512754,-2.980373,-0.876149,18,6.545455,5,26.443182,Spots
10,4.53746,-3.79855,14,7.142857,6,15.809524,2.621757,-1.915703,-0.510756,15,4.333333,3,16.854166,Spots
4,5.005569,-0.623441,6,4.428571,5,2.285714,3.594727,-1.410841,-0.741862,14,5.515152,5,11.320076,Spots
3,7.253462,-2.361981,14,7.428571,7,13.952381,4.366685,-2.886777,-1.165389,19,8.212121,8,18.609848,Spots
14,9.279313,-5.727287,19,11.142858,10,31.476191,4.891008,-4.388305,-1.491783,19,9.878788,10,22.297348,Spots
19,9.919158,-7.228929,19,13.857142,14,21.809525,5.015275,-4.903883,-1.593689,19,10.121212,10,27.297348,Spots
14,9.14194,-6.415823,19,12.571428,14,35.952381,4.706285,-4.435656,-1.447888,19,9.545455,10,30.818182,Spots
16,7.801892,-6.392912,18,12.142858,14,32.476189,4.060766,-3.741126,-1.134164,19,8,6,34.125,Spots
15,5.989926,-5.236557,16,9.142858,8,35.809525,3.248593,-2.741333,-0.766969,18,5.848485,4,27.570076,Spots
8,4.01531,-3.018456,15,6.571429,4,21.619047,2.438289,-1.577021,-0.438474,16,3.818182,3,19.27841,Spots
5,4.425567,-1.535611,9,5.142857,5,7.476191,3.086173,-1.339395,-0.572262,10,4.484848,4,7.632576,Spots
7,6.118712,-2.687836,10,7,7,5.666667,3.7359,-2.382812,-0.907557,15,6.454545,7,11.068182,Spots
10,7.57203,-4.432717,15,10,8,10.333333,4.180949,-3.391081,-1.169853,19,7.636364,7,16.613636,Spots
15,8.138449,-5.467795,19,10.428572,10,24.952381,4.29177,-3.846678,-1.256981,19,8.606061,8,21.746212,Spots
10,7.751556,-5.883961,18,12.142858,13,19.809525,4.035434,-3.716122,-1.142055,19,7.69697,6,29.342804,Spots
18,6.562329,-5.840911,18,10,8,25.666666,3.48853,-3.0738,-0.879694,18,6.333333,5,28.479166,Spots
7,4.574566,-2.971124,18,7,3,47,2.796211,-1.778355,-0.566111,18,4.454545,3,26.193182,Spots
1,3.317459,-0.541882,8,3.285714,3,7.238095,2.5134,-0.804059,-0.380657,9,3.666667,3,8.479167,Spots
8,4.647596,-2.079402,8,4.857143,5,8.476191,3.0173,-1.630296,-0.619861,10,4.727273,5,10.642045,Spots
8,5.699748,-3.148031,10,7.142857,8,8.142858,3.365199,-2.334549,-0.813359,15,6.060606,6,12.933712,Spots
8,6.101487,-3.594074,15,8.285714,8,13.571428,3.454051,-2.647435,-0.883132,19,6.545455,6,16.255682,Spots
11,5.80109,-3.863819,11,6.857143,8,10.476191,3.252493,-2.548597,-0.799007,18,6.090909,5,17.522728,Spots
8,4.695382,-3.086637,18,6.857143,6,38.142857,2.816701,-1.878681,-0.594486,18,4.818182,3,20.52841,Spots
6,4.080832,-1.697967,8,4.428571,5,6.285714,2.634347,-1.446485,-0.540611,15,4.333333,4,10.541667,Spots
3,3.901489,-1.962892,11,5.428571,6,8.619047,2.486133,-1.415356,-0.488193,11,3.727273,3,7.767045,Spots
4,2.874843,-1.147923,9,3.142857,3,10.476191,1.835694,-1.039149,-0.388125,12,3.030303,2,10.467803,Spots
9,3.490157,-2.276883,10,4.285714,4,16.238094,1.978884,-1.511272,-0.484129,12,3.515152,2,10.757576,Spots
0,3.179985,-1.072212,9,4.142857,5,9.142858,1.959069,-1.220916,-0.472139,14,3.636364,4,12.426136,Spots
6,2.631582,-0.897675,6,2.857143,4,6.142857,1.786127,-0.845455,-0.368423,9,2.818182,2,6.278409,Spots
4,2.137832,-1.340517,7,3.714286,4,5.904762,1.518567,-0.619265,-0.227403,7,1.878788,1,4.297348,Spots
0,2.707218,-0.335065,6,2.428571,2,4.952381,1.894199,-0.813019,-0.363957,10,2.818182,2,9.028409,Spots
5,4.105941,-2.815324,10,5.285714,5,12.904762,2.204686,-1.901256,-0.563085,12,4.484848,4,13.820076,Spots
10,4.995275,-4.707624,12,7.857143,9,9.809524,2.373579,-2.621696,-0.686743,14,4.787879,5,15.297348,Spots
5,4.610763,-3.174782,14,5.714286,5,23.904762,2.343545,-2.267218,-0.675683,14,5.060606,5,16.746212,Spots
5,3.710574,-1.986637,8,4.857143,5,4.476191,2.127246,-1.583328,-0.545847,14,3.818182,3,10.840909,Spots
5,2.803531,-1.607382,6,3.714286,4,3.238095,1.794503,-1.009028,-0.362117,8,2.69697,2,5.155303,Spots
2,3.248137,-1.00255,9,3.285714,2,13.571428,2.16804,-1.080097,-0.451908,10,3.484848,2,10.445076,Spots
