@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spots,'Not Spots'}

@data
9,8.381961,3.882971,1.415893,0.388983,-4.909882,5.743337,12.122611,5.19474,2.187299,1.608069,20,10.142858,9,67.14286,3.909784,-4.472177,0.678581,0.471777,0.284718,-1.435076,0.715434,0.353556,0.227815,0.161782,0.112966,34,9.515152,4,101.632576,1.410665,-6.971296,-2.499119,0.052591,0.038867,0.031445,-0.122904,0.033597,0.002434,0.00186,0.005485,0.003264,36,3.470817,1,41.937622,Spots
20,10.652073,6.297021,4.169776,1.700939,-12.167736,4.431804,10.958304,7.460098,2.185781,1.628489,30,18.571428,22,100.619049,3.98976,-6.662313,0.710957,0.546048,0.333494,-1.590499,0.664172,0.373301,0.227469,0.161559,0.113805,34,10.272727,5,102.704544,1.401683,-9.25039,-2.588077,0.050265,0.038959,0.03225,-0.121474,0.045139,0.003381,0.001393,0.005467,0.003166,36,3.435798,1,42.00465,Spots
30,7.986453,5.267865,3.040434,0.551588,-8.859887,5.328642,9.685349,6.768062,1.9953,1.514363,30,11.714286,7,129.238098,3.414511,-4.571942,0.589538,0.320543,0.256299,-1.166379,0.970867,0.557844,0.168551,0.154363,0.105537,34,7.787879,2,105.422348,1.345114,-6.641339,-2.069397,0.041734,0.036866,0.030032,-0.108633,0.082379,0.006699,0.001102,0.005641,0.002928,36,3.210117,1,39.479115,Spots
4,5.39722,2.818884,2.068954,0.814707,0.064777,4.645149,9.421721,4.290704,2.015254,1.498345,18,4.714286,4,36.904762,3.435105,-1.962115,0.570071,0.341956,0.148107,-1.060134,0.948695,0.53668,0.167968,0.158073,0.109951,24,5.787879,3,44.734848,1.34737,-4.04985,-2.087735,0.04409,0.036046,0.031244,-0.111379,0.082541,0.006915,0.001177,0.005933,0.002968,36,3.431907,1,41.92601,Spots
18,10.226299,6.381191,2.830695,0.774589,-8.437296,4.243873,10.470297,7.313715,2.226068,1.639531,24,12.857142,13,47.142857,4.161179,-6.06512,0.756953,0.683834,0.271063,-1.71185,0.464745,0.326159,0.242111,0.162874,0.121737,36,11.69697,9,108.592804,1.393584,-8.832716,-2.767596,0.050858,0.03845,0.033778,-0.123086,0.049697,0.003555,0.001535,0.005482,0.00311,36,3.560311,1,42.184826,Spots
24,11.903884,7.322876,5.313012,1.198541,-13.834429,2.898763,12.011189,6.989584,2.246028,1.646682,34,20.142857,20,100.476189,4.226674,-7.67721,0.767647,0.72488,0.325723,-1.81825,0.394901,0.326813,0.249273,0.160812,0.123925,34,12.363636,12,103.05114,1.391099,-10.512785,-2.835575,0.050839,0.038283,0.033716,-0.122839,0.04824,0.002974,0.00194,0.005205,0.003139,36,3.575876,1,42.057697,Spots
19,8.263127,4.625005,2.655419,0.609999,-7.890423,5.774214,11.868184,5.632905,2.069597,1.517583,30,12.714286,8,132.238098,3.594197,-4.668931,0.632085,0.375302,0.288893,-1.29628,0.925433,0.526499,0.196924,0.152243,0.115748,34,8.242424,2,109.251892,1.341126,-6.922001,-2.25307,0.045316,0.036097,0.029626,-0.111038,0.077889,0.005884,0.001413,0.005183,0.003054,36,3.373541,1,42.258358,Spots
16,5.620292,3.405993,2.103544,1.011733,-6.52127,3.095567,2.955932,2.020472,0.579096,0.472213,20,9,8,65.666664,2.209457,-3.410835,0.339283,0.273416,0.171087,-0.783786,0.325047,0.078501,0.052958,0.050986,0.029521,22,5.575758,3,41.876892,1.040472,-4.579821,-1.168986,0.030472,0.026171,0.001398,-0.055245,0.072581,0.004688,0.000782,0.002797,0.002312,22,1.918288,1,9.840953,Spots
15,5.806403,3.557455,2.181218,1.388896,-7.127569,2.959856,2.699671,2.278553,0.610344,0.50617,22,10.571428,12,62.952381,2.224373,-3.58203,0.334747,0.272993,0.182022,-0.789762,0.322592,0.087033,0.044264,0.055621,0.030529,22,5.454545,3,42.56818,1.051864,-4.754539,-1.172509,0.031038,0.027019,0.001428,-0.056629,0.077644,0.005415,0.000743,0.003446,0.002163,22,1.941634,1,9.812986,Spots
20,6.66703,4.138743,3.032435,1.82245,-8.993628,2.326145,2.877819,2.520051,0.735753,0.57191,22,11.857142,16,79.476189,2.334339,-4.332691,0.34463,0.29687,0.213832,-0.855332,0.239113,0.083648,0.035289,0.064406,0.034462,22,6.333333,4,40.916668,1.107194,-5.559836,-1.227145,0.034192,0.02916,0.000512,-0.06284,0.073908,0.00482,0.000971,0.00329,0.002518,22,1.871595,1,9.932667,Spots
22,6.762174,4.077621,3.375193,2.017629,-9.470443,2.209021,3.024772,2.341895,0.798053,0.627823,22,12.428572,13,59.619049,2.368118,-4.394056,0.361328,0.271807,0.20798,-0.841116,0.186788,0.075064,0.036698,0.070125,0.037362,22,6.333333,4,40.916668,1.129408,-5.632767,-1.23871,0.035948,0.030364,0.000167,-0.066479,0.075924,0.005136,0.001013,0.003743,0.002527,22,1.906615,1,9.764683,Spots
4,4.734776,2.75868,1.151803,0.134647,-3.775836,3.168939,2.850224,1.848532,0.920962,0.683875,20,6.571429,4,55.285713,2.200282,-2.534494,0.290952,0.216542,0.096059,-0.603553,0.347721,0.100597,0.029889,0.080056,0.042068,22,5.30303,2,39.342804,1.168415,-3.566361,-1.031867,0.037263,0.031846,0.001097,-0.070206,0.076347,0.005108,0.001084,0.00391,0.002745,22,1.801556,1,9.964373,Spots
4,4.575348,2.328664,1.116178,0.247218,-3.197624,3.36772,3.140409,1.574839,1.027583,0.772677,22,5.571429,4,58.285713,2.283689,-2.29166,0.352486,0.225801,0.01024,-0.568046,0.206092,0.068218,0.03681,0.087132,0.047549,22,5.151515,2,39.132576,1.203475,-3.371874,-1.080214,0.040602,0.033532,0.002806,-0.076941,0.072429,0.004566,0.001333,0.004136,0.002855,22,1.85214,1,9.87649,Spots
5,8.415702,4.059847,0.525761,0.298017,-4.883625,6.149446,12.543245,5.513137,2.153389,1.59217,24,8.714286,9,66.904762,3.899158,-4.516544,0.666631,0.444494,0.309339,-1.420465,0.721662,0.3484,0.20942,0.161299,0.107903,36,9.757576,5,120.689392,1.404719,-7.010983,-2.494438,0.052443,0.040989,0.030913,-0.124344,0.019706,0.002431,0.001379,0.005479,0.003462,36,3.447471,1,38.279457,Spots
24,10.51147,6.45747,3.473439,1.145462,-11.076371,5.128551,11.419492,7.70005,2.154941,1.612576,34,15.714286,19,139.904755,4.018678,-6.492792,0.709626,0.547399,0.353667,-1.610693,0.625965,0.337328,0.22231,0.160352,0.109515,36,11.060606,7,132.246216,1.396528,-9.114942,-2.62215,0.050918,0.040238,0.031994,-0.123149,0.033952,0.002828,0.001425,0.0054,0.003424,36,3.357977,1,38.347916,Spots
13,10.995116,6.62858,3.666006,1.120531,-11.415116,4.546295,10.977068,7.904975,2.185269,1.62237,36,18.142857,17,161.809525,4.134083,-6.861033,0.727176,0.658092,0.329308,-1.714576,0.534367,0.351602,0.226989,0.162323,0.117215,36,11.424242,9,101.439392,1.384939,-9.610177,-2.749144,0.050332,0.039317,0.033929,-0.123578,0.046126,0.003505,0.001353,0.005481,0.003313,36,3.513619,1,38.84454,Spots
34,12.641297,8.012623,6.504864,1.515492,-16.03298,2.198194,12.03134,7.825555,2.209078,1.630542,34,21.285715,24,111.571426,4.253667,-8.38763,0.772428,0.731726,0.367623,-1.871777,0.330881,0.305445,0.243096,0.159599,0.120013,36,12.939394,11,114.121216,1.383594,-11.257704,-2.870073,0.050978,0.039079,0.033642,-0.123699,0.042007,0.002463,0.002004,0.00517,0.0033,36,3.428015,1,38.370773,Spots
17,8.187558,5.070443,1.222527,0.150133,-6.443104,5.395583,9.821803,7.012238,2.042238,1.526789,17,10,12,29.333334,3.702769,-4.484789,0.689193,0.42265,0.250682,-1.362525,0.846986,0.465914,0.229473,0.152523,0.120547,36,8.636364,5,107.86364,1.328895,-6.858664,-2.373874,0.045974,0.03669,0.031114,-0.113779,0.078462,0.006174,0.001362,0.005454,0.00305,36,3.505836,1,41.30563,Spots
12,8.583125,4.480297,1.380499,0.529698,-6.390494,6.016168,12.351845,5.653837,2.082859,1.519181,34,11.428572,11,134.952377,3.7828,-4.800325,0.662078,0.501676,0.2796,-1.443354,0.82196,0.459473,0.218682,0.14794,0.124491,36,9.333333,3,119.916664,1.333263,-7.249862,-2.449536,0.048012,0.03716,0.029657,-0.114828,0.070709,0.004875,0.001785,0.004904,0.003129,36,3.385214,1,38.558064,Spots
5,3.698942,2.890237,2.251226,0.676949,-0.037938,3.822345,7.994646,2.921959,1.752868,1.3194,17,4.142857,2,35.142857,2.805792,-0.89315,0.495217,0.173838,0.016324,-0.652731,1.033518,0.601041,0.146,0.134845,0.115144,17,3.121212,1,22.859848,1.240685,-2.458256,-1.565107,0.040538,0.033411,0.022099,-0.096048,0.104997,0.009608,0.001211,0.005501,0.002893,36,3.159533,1,38.392418,Spots
