@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
3,4.151021,0.149504,5,3.285714,3,0.904762,3.780163,-0.370858,-0.368204,10,4.454545,4,3.880682,'Not Spots'
2,3.4606,0.457188,5,3,3,2,3.252618,-0.207981,-0.321978,7,3.545455,4,1.880682,'Not Spots'
5,3.863996,0.026944,5,3.571429,4,0.952381,3.492191,-0.371805,-0.363031,8,3.848485,4,2.257576,'Not Spots'
4,4.478521,-0.518162,5,4.285714,4,0.238095,3.767915,-0.710606,-0.442281,8,4.818182,5,1.965909,'Not Spots'
4,4.876332,-0.69519,7,5.285714,5,1.238095,4.02562,-0.850711,-0.517364,8,4.878788,5,2.484848,'Not Spots'
6,5.03961,-0.570233,6,4.571429,4,2.285714,4.207573,-0.832036,-0.557466,8,5.181818,5,2.153409,'Not Spots'
4,5.044634,-0.327863,8,5.285714,5,2.238095,4.278726,-0.765908,-0.551521,9,5.151515,5,2.320076,'Not Spots'
4,4.879706,-0.160352,6,4.571429,4,1.285714,4.236292,-0.643414,-0.501776,10,5,5,2.75,'Not Spots'
4,4.579918,-0.079329,7,4.285714,4,2.238095,4.109818,-0.4701,-0.427846,10,4.454545,4,2.630682,'Not Spots'
2,4.260826,0.252238,7,3.714286,3,2.571429,3.947189,-0.313637,-0.359005,10,4.545455,4,3.130682,'Not Spots'
2,3.333477,0.500863,4,2.714286,3,0.571429,3.271195,-0.062283,-0.247394,6,3.393939,3,1.496212,'Not Spots'
3,3.663118,0.014661,6,3.857143,4,1.809524,3.47967,-0.183448,-0.270673,6,3.636364,4,1.488636,'Not Spots'
4,4.160573,-0.343753,5,4.285714,4,0.571429,3.736805,-0.423768,-0.339804,7,4.121212,4,1.609848,'Not Spots'
5,4.430747,-0.040491,5,4,4,1,3.9906,-0.440147,-0.413817,7,4.454545,4,1.505682,'Not Spots'
4,4.589361,0.271533,6,4.428571,4,1.619048,4.184343,-0.405018,-0.463667,8,4.666667,5,2.166667,'Not Spots'
4,4.768021,0.157685,6,4.428571,4,0.619048,4.280936,-0.487085,-0.477638,8,5.060606,5,2.121212,'Not Spots'
6,4.797558,-0.204241,7,4.714286,4,1.904762,4.272285,-0.525273,-0.452893,8,4.727273,4,2.142045,'Not Spots'
7,4.544351,0.003518,7,4.285714,4,3.904762,4.180558,-0.363793,-0.403434,7,4.575758,4,2.376894,'Not Spots'
3,4.294038,0.338072,7,4,4,3.333333,4.046471,-0.247567,-0.356734,8,4.393939,4,2.683712,'Not Spots'
4,3.346795,-0.16744,5,3.714286,4,1.238095,3.23337,-0.113425,-0.188265,6,3.151515,3,1.445076,'Not Spots'
3,3.612143,-0.224966,5,3.571429,4,0.952381,3.420253,-0.19189,-0.209243,6,3.69697,4,1.967803,'Not Spots'
5,4.064786,-0.555083,5,4,4,1.333333,3.661573,-0.403213,-0.276053,8,4.121212,4,2.047348,'Not Spots'
2,4.273698,0.086564,6,4.142857,5,2.142857,3.909134,-0.364564,-0.351069,7,4.424242,5,2.064394,'Not Spots'
3,4.449671,0.314864,7,4,4,3.333333,4.10952,-0.340151,-0.406767,8,4.424242,4,2.376894,'Not Spots'
5,4.695805,-0.131326,8,4.571429,4,2.952381,4.226016,-0.469789,-0.431405,8,4.545455,4,2.568182,'Not Spots'
3,4.683603,0.007126,7,4.571429,5,4.285714,4.248662,-0.434941,-0.423057,10,4.818182,5,3.215909,'Not Spots'
1,4.428807,0.668719,7,3.857143,3,5.476191,4.194726,-0.234081,-0.396811,7,4.484848,4,2.195076,'Not Spots'
2,4.384158,0.474027,6,3.571429,4,2.952381,4.096595,-0.287563,-0.377547,10,4.484848,4,3.507576,'Not Spots'
4,3.508426,-0.088912,5,3.285714,3,1.238095,3.350653,-0.157774,-0.189754,6,3.484848,3,1.945076,'Not Spots'
5,4.094492,-0.947409,6,4.857143,5,2.142857,3.577687,-0.516806,-0.26031,7,4.272727,4,2.329545,'Not Spots'
6,4.530746,-1.273357,7,5,5,3.666667,3.814654,-0.716092,-0.338247,8,4.606061,5,2.996212,'Not Spots'
7,4.762928,-1.252283,8,5.714286,6,3.904762,4.013003,-0.749925,-0.39606,8,4.666667,5,2.479167,'Not Spots'
8,4.833294,-0.993798,8,5.428571,5,2.952381,4.138937,-0.694358,-0.423092,8,4.666667,4,2.041667,'Not Spots'
4,4.645976,-0.053858,8,4.714286,4,2.571429,4.183624,-0.462351,-0.423024,8,4.636364,5,2.176136,'Not Spots'
4,4.482069,0.390607,5,4,4,2,4.160931,-0.321138,-0.414246,8,4.787879,5,2.672348,'Not Spots'
2,3.303915,0.54743,4,2.857143,3,0.809524,3.273946,-0.029968,-0.200097,7,3.393939,3,2.183712,'Not Spots'
2,3.899576,-0.346348,7,4,4,3.333333,3.481165,-0.41841,-0.268203,7,4.121212,4,2.547348,'Not Spots'
7,4.48258,-1.45602,7,5.285714,6,3.904762,3.698465,-0.784114,-0.342736,7,4.333333,4,2.791667,'Not Spots'
6,4.754319,-1.442118,7,5.428571,6,2.285714,3.88443,-0.869888,-0.399001,10,4.727273,4,3.454545,'Not Spots'
5,4.744104,-0.798636,8,5.142857,5,2.142857,4.009644,-0.734461,-0.42795,10,5.060606,5,3.746212,'Not Spots'
5,4.584478,-0.026008,5,4.142857,4,0.809524,4.066365,-0.518113,-0.436284,10,4.606061,4,2.371212,'Not Spots'
5,4.594069,-0.255213,6,4.857143,5,0.47619,4.063922,-0.530147,-0.440208,7,4.424242,5,1.314394,'Not Spots'
3,3.980741,-0.180466,7,4,4,2.333333,3.530122,-0.450619,-0.33344,7,4.060606,4,2.683712,'Not Spots'
4,4.239079,-0.266818,6,4.142857,4,1.142857,3.693459,-0.545621,-0.383194,10,4.212121,4,3.547348,'Not Spots'
4,4.40035,-0.351702,10,4.857143,4,5.476191,3.809301,-0.591049,-0.416421,10,4.30303,4,3.092803,'Not Spots'
0,0.461986,0.20637,2,0.428571,0,0.619048,0.592689,0.130703,0.059651,2,0.454545,0,0.505682,'Not Spots'
0,0.507979,0.226709,1,0.285714,0,0.238095,0.611947,0.103968,0.055477,7,0.69697,0,1.717803,'Not Spots'
1,0.55056,-0.025747,2,0.714286,1,0.571429,0.619625,0.069065,0.065076,3,0.484848,0,0.570076,'Not Spots'
1,0.502997,-0.046351,1,0.428571,0,0.285714,0.621466,0.118468,0.083625,3,0.424242,0,0.501894,'Not Spots'
0,0.431425,0.221352,2,0.285714,0,0.571429,0.615434,0.184009,0.070567,2,0.393939,0,0.433712,'Not Spots'
0,0.578244,0.027485,2,0.714286,1,0.571429,0.654834,0.076591,0.047568,2,0.545455,0,0.568182,'Not Spots'
1,0.74506,-0.235544,2,0.714286,1,0.571429,0.689389,-0.055671,0.024526,7,0.636364,0,1.738636,'Not Spots'
1,0.863794,-0.495552,7,1.428571,1,6.285714,0.70888,-0.154914,0.015884,7,0.939394,0,2.558712,'Not Spots'
0,0.778845,-0.21061,2,0.714286,1,0.571429,0.710408,-0.068437,0.029887,7,0.818182,0,1.840909,'Not Spots'
0,0.599648,0.126899,3,0.571429,0,1.285714,0.702388,0.10274,0.056744,3,0.636364,1,0.551136,'Not Spots'
0,0.496892,0.286955,1,0.285714,0,0.238095,0.697461,0.200569,0.076862,3,0.454545,0,0.505682,'Not Spots'
1,0.505495,0.174009,1,0.285714,0,0.238095,0.700145,0.19465,0.082094,2,0.454545,0,0.318182,'Not Spots'
0,0.312056,0.612634,0,0,0,0,0.656506,0.34445,0.081347,2,0.30303,0,0.342803,'Not Spots'
0,0.419637,0.423481,2,0.428571,0,0.619048,0.696509,0.276872,0.061871,2,0.363636,0,0.488636,'Not Spots'
1,0.607265,0.316873,1,0.285714,0,0.238095,0.741595,0.13433,0.027926,7,0.757576,0,1.939394,'Not Spots'
0,0.93746,-0.360343,7,1.285714,0,6.571429,0.781129,-0.156332,-0.007243,7,0.969697,0,2.592803,'Not Spots'
7,1.225923,-1.51291,7,2.285714,1,8.904762,0.801597,-0.424326,-0.021934,7,0.939394,0,2.621212,'Not Spots'
2,1.034762,-0.762066,7,1.714286,1,6.238095,0.799168,-0.235594,-0.005666,7,0.939394,0,2.621212,'Not Spots'
0,0.693696,0.220904,2,0.571429,0,0.619048,0.784166,0.090469,0.027003,7,0.787879,0,1.859848,'Not Spots'
0,0.563177,0.411298,1,0.142857,0,0.142857,0.771373,0.208196,0.051376,3,0.727273,1,0.767045,'Not Spots'
0,0.573971,0.281818,2,0.571429,0,0.619048,0.765375,0.191403,0.058986,3,0.545455,0,0.568182,'Not Spots'
1,0.553881,0.293936,1,0.285714,0,0.238095,0.757686,0.203805,0.060038,4,0.545455,0,0.693182,'Not Spots'
0,0.417042,0.479242,1,0.142857,0,0.142857,0.707362,0.29032,0.071997,2,0.454545,0,0.443182,'Not Spots'
0,0.391799,0.561861,1,0.142857,0,0.142857,0.735036,0.343237,0.069581,2,0.363636,0,0.426136,'Not Spots'
0,0.446667,0.573377,1,0.142857,0,0.142857,0.772323,0.325656,0.050362,2,0.363636,0,0.363636,'Not Spots'
0,0.636351,0.517408,1,0.285714,0,0.238095,0.816076,0.179725,0.013009,6,0.727273,0,1.454545,'Not Spots'
0,1.033095,-0.359443,6,1.428571,0,4.952381,0.85533,-0.177765,-0.027678,7,0.969697,0,2.592803,'Not Spots'
6,1.342487,-1.511251,7,2.571429,2,7.952381,0.875525,-0.466962,-0.046512,7,1.090909,1,2.585227,'Not Spots'
