@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
8311,6982.710938,7673.714355,3832263.5,5560.993652,-1421.717285,7247.36377,7317743.5,4311.739258,-2670.97168,-1249.254395,5352.88916,12253194,2717.759766,-4264.951172,-2843.233887,-1593.979492,3746.035889,13026963,NotSpot
8169,6478.484863,7110.428711,7854583.5,5608.865723,-869.619141,6876.90918,8638680,4489.926758,-1988.558105,-1118.938965,5438.86377,12660003,2855.560303,-3622.924561,-2753.30542,-1634.366455,3935.352783,13065355,NotSpot
11402,7617.998535,10079.571289,3541305.75,5605.089355,-2012.90918,7691.515137,8931838,4288.924805,-3329.07373,-1316.164551,5276.365723,12865862,2720.986816,-4897.011719,-2884.102539,-1567.937988,3762.079102,13038496,NotSpot
3521,7439.661621,8302.857422,10240913,5948.793457,-1490.868164,8018.969727,7177116.5,4472.681152,-2966.980469,-1476.112305,5677.932129,14467391,2854.453613,-4585.208008,-3094.339844,-1618.227539,3876.746582,12914183,NotSpot
3144,6944.354492,6355.856934,9858561,5832.945313,-1111.40918,7403.696777,7171391.5,4399.36377,-2544.990723,-1433.581543,5626.191406,14157439,2843.901611,-4100.453125,-2989.043701,-1555.462158,3788.175781,12465285,NotSpot
7559,6812.960449,7525.285645,16515814,5420.712402,-1392.248047,7104.939453,9612923,4282.371582,-2530.588867,-1138.34082,5288.097656,12764161,2830.191406,-3982.769043,-2590.520996,-1452.180176,3757.956787,11970405,NotSpot
6366,6309.351563,6423.714355,5296671,5284.845703,-1024.505859,6694.54541,10201596,4405.655762,-1903.695801,-879.189941,5167.22998,12194694,2958.980957,-3350.370605,-2325.864746,-1446.674805,3968.428467,12224389,NotSpot
3215,5796.020996,5982,4045050.25,5203.09375,-592.927246,6307.484863,6898168.5,4358.323242,-1437.697754,-844.770508,4977.335938,10418113,2950.574463,-2845.446533,-2252.519287,-1407.748779,3899.781738,11570067,NotSpot
2227,6045.539551,5598.571289,5832554,5305.800293,-739.739258,6384.181641,8223671.5,4355.208008,-1690.331543,-950.592285,5196.676758,11244110,2947.31665,-3098.2229,-2358.483643,-1407.891357,3842.360596,11142932,NotSpot
11785,6606.745605,7735,5867254,5294.025391,-1312.720215,6767.121094,9227075,4354.324707,-2252.420898,-939.700684,5154.740234,11216929,2946.605957,-3660.139648,-2347.419434,-1407.71875,3919.534912,11307948,NotSpot
