@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
10,5.767188,2.072158,1.05791,0.683703,0.416336,-0.383308,-0.691292,5.364449,20.82589,-2.446365,3.579768,5.35216,1.471181,0.957868,0.59809,2,15,6.714286,5,22.904762,3.661775,-2.105412,0.373855,0.303516,0.124528,0.021618,-0.005105,-0.00204,0.001031,0.000879,-0.801899,0.941388,0.575556,0.071485,0.156193,0.069468,0,19,5.787879,4,29.797348,2.079242,-3.687946,-1.582534,0.044553,0.037415,0.000777,0.000066,-0.00007,-0.000001,0,0,-0.082745,0.206755,0.038097,0.00171,0.021974,0.007202,0,24,3.638132,2,19.286509,Spot
9,8.054248,2.71309,1.995329,0.44954,0.608548,-0.224951,-1.976649,0.445855,50.543549,-5.157959,3.788418,6.109923,2.360071,1.043054,0.683042,0,19,9.857142,9,39.142857,4.146933,-3.907315,0.453247,0.433269,0.282567,0.017386,-0.010398,-0.002519,0.00171,0.001794,-1.169083,0.836648,0.505032,0.106361,0.154001,0.080938,0,23,8.606061,9,45.121212,2.129785,-5.924463,-2.017148,0.04741,0.042853,0.002869,-0.000005,-0.000085,-0,0,0,-0.093131,0.197045,0.034658,0.001907,0.020383,0.007619,0,24,3.848249,2,19.887037,Spot
9,8.390806,3.688346,2.011596,0.125458,0.107734,0.380993,1.283101,-9.025687,-51.87933,-5.8254,3.681695,5.925172,3.174207,1.048577,0.71981,3,21,10.857142,9,37.476189,4.219257,-4.171549,0.509144,0.413998,0.300805,0.003839,-0.010297,-0.000961,0.000768,0.000627,-1.223947,0.802685,0.476006,0.123277,0.150748,0.08468,0,24,9.212121,9,47.797348,2.135929,-6.254877,-2.083328,0.04851,0.043391,0.003204,-0.000092,-0.000086,0,0,0,-0.095105,0.194345,0.033697,0.002003,0.019787,0.007772,0,24,3.910506,3,19.613052,Spot
7,6.054925,2.404124,0.798152,0.074007,-0.436012,-0.038266,1.247716,6.009607,-10.906259,-1.531964,3.893019,5.69947,2.422057,0.973137,0.698223,0,10,5.714286,7,13.238095,3.841323,-2.213602,0.43642,0.301585,0.183812,-0.01331,-0.005047,0.001433,-0.000685,-0.001184,-0.921817,0.905553,0.532358,0.097443,0.149022,0.078052,0,23,6.515152,5,38.320076,2.09633,-3.958595,-1.744993,0.046249,0.040392,0.001718,-0.000176,-0.000073,0.000001,0,-0,-0.088359,0.20003,0.035622,0.001822,0.020457,0.00746,0,24,3.863813,3,19.805599,Spot
5,4.372975,1.555458,1.523062,1.037167,0.258889,0.36489,0.639401,-0.894284,-9.608621,-1.069563,2.305737,3.09085,1.020612,0.82343,0.516833,1,15,4.857143,3,22.142857,3.432784,-0.940191,0.328761,0.211805,0.05392,0.024369,0.002722,-0.001618,-0.001202,0.000323,-0.486646,0.824358,0.458777,0.053145,0.144618,0.057002,0,16,4.454545,3,16.568182,2.179806,-2.193169,-1.252978,0.043264,0.028143,0.012922,0.000352,-0.000049,-0.000001,0,0,-0.084329,0.213555,0.041512,0.001639,0.024698,0.007219,0,24,3.677043,3,16.930447,Spot
15,7.166124,3.073319,1.611011,0.11301,0.660607,-0.281988,-1.030284,-6.432458,5.334235,-4.57132,3.192009,4.486359,2.379064,0.97386,0.633709,5,16,10.857142,12,19.809525,4.174033,-2.992092,0.471089,0.306497,0.207799,0.024307,-0.005455,-0.003006,0.000786,0.002182,-0.985385,0.758261,0.407834,0.089921,0.144955,0.071823,0,21,7,5,31.6875,2.268104,-4.89802,-1.905929,0.04668,0.038191,0.016789,0.00025,-0.000074,-0.000001,0,0,-0.10166,0.198062,0.03611,0.001874,0.022361,0.007773,0,24,4.175097,3,18.934065,Spot
16,10.015644,4.580183,2.726393,1.114652,0.598194,-0.754865,-0.574614,15.333431,-19.116442,-8.421228,2.266209,5.067857,3.330723,1.066297,0.719024,9,21,13,11,20.333334,4.703107,-5.312537,0.58101,0.475696,0.356188,0.01543,-0.013486,-0.002384,0.002687,0.002123,-1.412894,0.464147,0.291015,0.121102,0.141028,0.084176,0,24,10.333333,9,40.916668,2.317757,-7.697886,-2.38535,0.049297,0.044042,0.019061,0.000112,-0.000089,-0,0,0,-0.1124,0.18581,0.032081,0.002066,0.020548,0.008165,0,24,4.252918,3,18.978752,Spot
21,10.660543,4.896182,4.121552,0.972929,0.003022,-0.419148,-0.380051,-7.415087,22.072823,-9.990664,1.599235,5.09334,3.984452,1.075638,0.755123,5,24,16.714285,19,52.238094,4.782192,-5.878351,0.60375,0.517197,0.367987,-0.000901,-0.014869,0.00024,0.002123,-0.000389,-1.488934,0.366534,0.253339,0.144936,0.137477,0.088442,0,24,11.030303,10,40.405304,2.321936,-8.338608,-2.460257,0.050051,0.044938,0.019405,-0.000044,-0.000091,0,0,-0,-0.114394,0.183186,0.031198,0.002129,0.019983,0.008229,0,24,4.225681,3,18.862932,Spot
5,7.854098,3.231299,0.33145,0.126678,-0.584604,0.628816,1.009595,-2.547001,-0.712877,-3.689427,3.947247,5.054792,3.508638,0.998423,0.73341,2,21,8,6,38.666668,4.366477,-3.48762,0.521542,0.318248,0.311689,-0.017324,-0.008575,0.002577,-0.000227,-0.00249,-1.151478,0.688931,0.358238,0.119902,0.13787,0.080948,0,24,8.909091,7,48.272728,2.279184,-5.574914,-2.087293,0.047617,0.041921,0.017786,-0.000197,-0.000077,0.000001,0,-0,-0.107324,0.191767,0.033902,0.001915,0.020972,0.0078,0,24,4.128405,3,18.877979,Spot
5,4.086663,1.511574,1.100334,0.560105,0.272857,0.274624,-1.193086,-4.188967,40.869038,-0.148865,1.90015,2.388265,0.893761,0.76819,0.50685,2,13,4.857143,4,14.476191,3.596835,-0.489828,0.329399,0.176398,0.090666,0.018925,0.003355,-0.001303,-0.001226,0.001061,-0.415132,0.694425,0.322542,0.057432,0.127201,0.055088,0,15,4.030303,3,12.405303,2.354771,-1.731892,-1.242064,0.04414,0.031179,0.019888,0.000534,-0.000044,-0.000001,0,0,-0.095208,0.195882,0.036221,0.001707,0.024146,0.007636,0,24,3.836576,3,16.598188,Spot
