@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'No Spots'}

@data
8,5.420423,-2.240232,12,6.142857,6,19.142857,4.415812,-1.004611,-0.442798,15,5.212121,5,10.797348,'No Spots'
11,5.970895,-3.830495,15,8.285714,8,15.904762,4.342083,-1.628812,-0.532305,15,6.030303,7,11.780303,'No Spots'
8,5.622083,-2.942875,11,6.571429,7,11.952381,4.14166,-1.480423,-0.545116,15,5.636364,6,9.676136,'No Spots'
3,4.526373,-0.846011,8,5,4,7.333333,3.774649,-0.751724,-0.462601,12,5.060606,4,8.558712,'No Spots'
1,3.528827,0.060064,4,2.857143,3,1.142857,3.265918,-0.26291,-0.324726,10,3.636364,3,5.113636,'No Spots'
4,2.921515,-0.801646,10,3.571429,2,9.285714,2.681727,-0.239788,-0.177902,10,2.818182,2,3.653409,'No Spots'
6,4.724919,-1.164015,7,4.428571,4,3.619048,4.266827,-0.458092,-0.311074,11,4.848485,5,6.320076,'No Spots'
5,4.362258,-0.468878,6,3.857143,4,3.142857,4.086423,-0.275836,-0.293185,8,4.606061,5,5.058712,'No Spots'
1,4.490167,-0.763224,8,4.857143,6,9.809524,3.969536,-0.52063,-0.342401,12,4.818182,5,8.153409,'No Spots'
7,4.844303,-1.939479,11,5.142857,5,12.142858,3.847818,-0.996485,-0.409985,15,5.181818,6,9.778409,'No Spots'
1,4.670485,-1.74422,8,5.571429,6,5.619048,3.63232,-1.038165,-0.424788,11,5.030303,6,7.092803,'No Spots'
4,3.841025,-0.627494,6,3.285714,3,2.571429,3.276189,-0.564836,-0.354889,9,4.090909,4,6.522727,'No Spots'
3,2.898353,0.162028,4,2.285714,2,1.904762,2.799257,-0.099096,-0.22965,9,2.848485,2,3.570076,'No Spots'
2,2.238099,-0.086924,4,2.428571,2,0.952381,2.2691,0.031001,-0.098594,10,2.363636,2,3.051136,'No Spots'
5,3.892812,-0.621586,8,4,4,6.333333,3.643481,-0.249332,-0.234907,11,3.939394,4,6.121212,'No Spots'
0,3.711907,-0.365986,6,3.571429,5,5.285714,3.454705,-0.257202,-0.237406,8,4.090909,4,4.210227,'No Spots'
6,3.87658,-1.293059,7,4.285714,6,6.904762,3.292665,-0.583914,-0.278971,11,4.060606,4,6.121212,'No Spots'
6,3.867191,-1.793805,7,4.428571,4,4.285714,3.076891,-0.790299,-0.296679,9,3.939394,4,5.746212,'No Spots'
4,3.344443,-1.310419,9,4,4,8,2.756887,-0.587556,-0.250536,9,3.424242,3,4.814394,'No Spots'
1,2.541956,-0.407726,4,2.714286,3,1.238095,2.342479,-0.199477,-0.15427,9,2.666667,2,3.354167,'No Spots'
5,3.036785,-0.596907,5,3,3,2.666667,2.917237,-0.119548,-0.139807,8,2.909091,3,3.585227,'No Spots'
3,2.998906,-0.748794,6,3.571429,3,2.619048,2.734848,-0.264057,-0.162209,7,3.090909,3,4.022727,'No Spots'
4,3.01032,-1.235035,6,3.571429,3,3.619048,2.533125,-0.477195,-0.181912,9,3.030303,3,4.717803,'No Spots'
3,2.704739,-1.090548,4,3.142857,3,1.142857,2.262228,-0.442511,-0.158027,9,2.818182,2,3.840909,'No Spots'
2,2.562942,-0.948646,7,3.142857,2,4.476191,2.053851,-0.509091,-0.187451,10,2.636364,2,4.488636,'No Spots'
1,2.463387,-0.373158,4,1.857143,1,1.47619,2.119435,-0.343952,-0.181506,10,2.939394,2,6.121212,'No Spots'
1,2.169821,-0.069229,5,2.142857,1,3.476191,2.091306,-0.078515,-0.129598,10,2.333333,2,5.604167,'No Spots'
2,1.740619,-0.365445,4,1.714286,1,1.238095,1.711431,-0.029188,-0.044453,5,1.666667,2,1.729167,'No Spots'
1,2.173966,-0.488938,5,2.714286,3,1.571429,1.930966,-0.243,-0.124684,7,2.121212,2,2.672348,'No Spots'
2,2.572171,-0.590785,6,2.142857,2,3.142857,2.131921,-0.44025,-0.202916,10,2.69697,2,4.530303,'No Spots'
1,2.71663,-0.779876,10,3.428571,3,9.619047,2.231416,-0.485214,-0.221528,10,2.757576,2,5.564394,'No Spots'
4,2.404786,-0.363863,6,2.142857,1,4.476191,2.203032,-0.201754,-0.168018,10,2.515152,2,5.382576,'No Spots'
0,2.011205,0.047312,4,2.285714,3,2.571429,2.091379,0.080174,-0.093782,6,1.787879,1,2.234848,'No Spots'
4,1.994662,-0.410902,4,2,2,2,1.97064,-0.024023,-0.061884,5,2.090909,2,2.835227,'No Spots'
1,1.61586,-0.258395,4,2,2,2,1.692563,0.076703,-0.016996,5,1.666667,1,1.916667,'No Spots'
3,1.953738,0.155396,3,1.285714,1,0.904762,1.943682,-0.010055,-0.109041,6,2.212121,2,2.234848,'No Spots'
1,2.534199,-0.058653,3,2.142857,2,0.809524,2.19332,-0.34088,-0.223772,12,2.909091,2,7.335227,'No Spots'
3,3.065771,-1.162562,6,2.857143,2,5.142857,2.333839,-0.731932,-0.280805,12,3.242424,2,7.439394,'No Spots'
2,2.823708,-0.8032,7,2.857143,2,4.476191,2.311277,-0.512431,-0.234006,12,3.272727,3,7.579545,'No Spots'
