@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute class {Spot,NotSpot}

@data
22,24.611431,12.58613,8.470753,8.321339,-4.205962,18.939003,17.085451,-7.52598,1.891756,1.80249,0.251182,-3.443063,4.322587,9.93969,-14.671741,-7.145761,0.181191,0.152314,0.097059,-0.430564,0.51325,7.568328,-17.043102,-9.517122,-2.371361,0.01539,0.008013,0.006179,-0.029581,0.02613,Spot
36,28.001907,12.836743,10.80106,9.977935,-12.013618,19.25589,17.692272,-10.309635,2.086321,1.885978,0.137533,-3.834766,4.31141,9.995177,-18.006729,-7.697095,0.178106,0.155918,0.113304,-0.447328,0.514878,7.565026,-20.436882,-10.127246,-2.430151,0.015316,0.007701,0.006644,-0.029661,0.027988,Spot
51,37.538574,15.795949,13.294796,3.623519,-25.467226,23.778444,19.509472,-18.029102,2.416485,2.3144,0.605538,-5.336423,4.126946,10.152121,-27.386454,-9.357351,0.187438,0.162681,0.129915,-0.480033,0.471346,7.582717,-29.955856,-11.926754,-2.569403,0.015494,0.008242,0.006841,-0.030576,0.021976,Spot
84,42.01358,20.182022,17.671419,0.679532,-37.173912,22.280973,20.219795,-21.793785,2.600354,2.436107,0.777516,-5.813978,4.006846,10.214362,-31.799217,-10.005433,0.178518,0.166961,0.153221,-0.4987,0.466867,7.580137,-34.433445,-12.639658,-2.634225,0.015435,0.008064,0.007168,-0.030667,0.02362,Spot
42,30.199898,12.961646,11.696304,9.990083,-14.667868,20.262695,18.524403,-11.675495,2.212893,1.9399,0.087517,-4.24031,4.426441,10.110153,-20.089745,-8.414249,0.170706,0.162693,0.140678,-0.474078,0.499356,7.569511,-22.630386,-10.954891,-2.540642,0.015325,0.007661,0.007187,-0.030173,0.02712,Spot
61,39.320274,17.791164,14.169477,2.917125,-29.043518,22.370607,19.865662,-19.454613,2.531983,2.363831,0.682159,-5.577972,4.061275,10.208962,-29.111313,-9.656699,0.190352,0.164566,0.134366,-0.489284,0.452687,7.589475,-31.730799,-12.276186,-2.619487,0.015542,0.008238,0.007215,-0.030995,0.019482,Spot
72,42.271351,19.594366,16.552271,1.635375,-34.511261,22.45936,20.548603,-21.722748,2.570708,2.537923,0.888746,-5.997377,3.997961,10.273304,-31.998047,-10.275299,0.182852,0.169838,0.155627,-0.508317,0.445498,7.587481,-34.683868,-12.961122,-2.685822,0.015498,0.008195,0.007394,-0.031087,0.020801,Spot
55,29.899509,12.324336,10.836322,10.70142,-12.459238,20.76577,18.782494,-11.117016,2.235121,1.91594,0.180495,-4.331556,4.50338,10.168715,-19.730793,-8.613778,0.175741,0.16377,0.143848,-0.483358,0.480614,7.577266,-22.322243,-11.205227,-2.591449,0.015402,0.007906,0.007282,-0.030591,0.024467,Spot
8,15.217781,12.65968,4.520368,2.017144,6.122169,11.744729,15.479167,0.261386,1.60312,1.104973,0.942265,-1.765828,4.427125,9.909101,-5.308681,-5.570066,0.169006,0.150777,0.100044,-0.419826,0.533309,7.559206,-7.658575,-7.919961,-2.349895,0.015261,0.007565,0.006704,-0.02953,0.029179,Spot
21,28.373281,11.482865,10.621236,8.337756,-7.476126,20.181593,18.480627,-9.892654,2.174032,1.908753,0.097188,-4.179974,4.47103,10.165376,-18.207905,-8.315251,0.186981,0.162956,0.124325,-0.474262,0.464401,7.58681,-20.786472,-10.893817,-2.578566,0.015501,0.008114,0.007288,-0.030903,0.020528,Spot
