@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spots,NotSpots}

@data
14,10.429757,2.549956,1.124499,0.531642,0.205687,0.831135,0.02156,-20.216486,-26.899618,-3.142812,3.717483,1.695965,0.649817,0.485126,12.571428,98.952377,8.142653,-2.287104,0.371245,0.256095,0.099023,0.003744,-0.003241,-0.001493,0.00004,0.001249,-0.726362,0.245371,0.078102,0.082068,0.066136,11.090909,61.210228,6.715593,-3.714164,-1.42706,0.042921,0.034391,0.024472,0.000308,-0.000063,0,0,0,-0.101784,0.019745,0.001283,0.025073,0.004215,8.007782,20.093689,Spots
14,13.19572,3.623614,2.58433,0.80336,-0.226142,0.116519,-0.42034,-6.640924,22.969828,-7.011303,2.756438,2.465171,0.774035,0.513962,16.142857,80.476189,8.771214,-4.424506,0.507892,0.344116,0.296997,-0.009703,-0.008384,0.00013,0.001509,0.000831,-1.149005,0.1624,0.117107,0.105041,0.06817,13.787879,58.359848,6.757271,-6.438449,-2.013943,0.045659,0.038626,0.032154,0.000166,-0.000093,0,0,-0,-0.11644,0.018255,0.001473,0.025163,0.004081,8.357977,24.191664,Spots
34,12.993862,3.795295,3.162623,2.548086,-0.212436,-1.203503,0.727525,11.353175,-16.742487,-9.506004,3.538385,2.213105,0.742986,0.493678,19.428572,145.285721,8.602332,-4.39153,0.423852,0.32154,0.245928,-0.007392,-0.0087,0.00065,0.002257,-0.000611,-0.991321,0.200237,0.084537,0.095189,0.066354,12.333333,54.604168,6.790546,-6.203316,-1.811786,0.045635,0.038209,0.03106,0.000359,-0.000082,0,0,-0,-0.114903,0.016523,0.001364,0.025122,0.003903,8.326848,23.150566,Spots
10,10.87847,1.701537,0.883511,0.30806,-0.079759,1.545297,0.282271,-14.704,-11.979099,-1.126087,3.209668,1.092897,0.811686,0.485705,10.428572,9.285714,8.6654,-2.213071,0.418332,0.328664,0.227895,-0.007288,-0.00513,0.000508,-0.00105,0.000365,-0.97489,0.29439,0.062334,0.12059,0.065975,12.454545,57.50568,6.727708,-4.150763,-1.937692,0.045256,0.037433,0.03297,0.000093,-0.000103,0,0,-0,-0.115659,0.020068,0.001479,0.025288,0.004056,8.774319,25.550432,Spots
13,12.855914,2.811194,1.753745,0.675697,-0.623687,0.284014,2.692792,-10.31782,-65.088043,-5.240636,2.623075,1.615811,0.827474,0.505972,15.571428,93.952377,8.993941,-3.861973,0.553468,0.374055,0.265701,-0.015005,-0.009276,0.002086,0.000907,-0.000836,-1.193224,0.161233,0.076258,0.113368,0.068702,13.545455,54.25568,6.801716,-6.054198,-2.192225,0.047379,0.041115,0.03628,0.000252,-0.000107,0,0,-0,-0.124774,0.01621,0.001578,0.025246,0.003806,8.832685,25.663303,Spots
37,12.756458,3.65517,3.316296,1.873642,-0.330913,-2.016753,-0.916007,24.72146,52.442436,-8.845107,3.458596,1.465567,0.791888,0.48563,18.714285,134.904755,8.793803,-3.962655,0.416865,0.348308,0.246024,-0.013987,-0.008543,0.002162,0.002316,-0.00103,-1.011197,0.200294,0.064422,0.103469,0.066336,11.727273,54.267044,6.834696,-5.921762,-1.959107,0.04699,0.04016,0.035469,0.000416,-0.000092,0.000001,0,-0,-0.122618,0.014332,0.001368,0.025082,0.003548,8.766537,25.281219,Spots
7,10.737911,2.032223,1.518762,1.380132,-0.15144,0.281635,-0.847818,-13.687422,26.707682,-2.170853,2.784013,0.965018,0.813841,0.463829,12.857142,104.809525,8.641569,-2.096342,0.426781,0.315035,0.159684,-0.004972,-0.006291,0.001718,0.000282,-0.001374,-0.9015,0.288366,0.057331,0.122549,0.065797,10.515152,35.195076,6.734655,-4.003256,-1.906914,0.045487,0.036221,0.035158,0.00018,-0.000105,0,0,-0,-0.116866,0.020029,0.001482,0.025417,0.004111,8.77821,26.274836,Spots
9,11.501102,2.638619,2.542181,1.91343,-0.488175,-0.016275,0.35522,11.944025,12.443055,-1.816992,2.095093,1.340625,0.827,0.483081,11.142858,21.476191,8.952169,-2.548933,0.547146,0.357403,0.174567,-0.013356,-0.00679,0.003151,-0.000006,-0.002066,-1.079116,0.159846,0.069351,0.115315,0.068326,11.727273,58.767044,6.809705,-4.691397,-2.142464,0.047325,0.041726,0.036988,0.000313,-0.000107,0,0,-0,-0.126039,0.015969,0.001592,0.025291,0.003931,8.945525,26.137646,Spots
15,10.753316,2.625799,1.767365,1.584715,-0.091207,-0.155662,-0.221748,-1.321125,-39.428669,-2.443149,2.749645,1.232458,0.788623,0.465047,13.428572,116.952377,8.741478,-2.011838,0.403986,0.328686,0.148794,-0.012935,-0.00403,0.002175,0.000125,-0.000356,-0.881466,0.205097,0.059815,0.105272,0.065801,10.121212,55.547348,6.843299,-3.910017,-1.898179,0.046744,0.04121,0.035804,0.000458,-0.00009,0.000001,0,-0,-0.123758,0.013884,0.001406,0.025006,0.003665,8.968872,25.553715,Spots
35,11.44955,2.92444,2.665844,1.420289,-0.167847,-1.857617,-1.018093,31.843653,32.772957,-7.010573,2.62613,0.875002,0.767418,0.424613,15.714286,97.238098,8.445222,-3.004328,0.404871,0.275051,0.13772,-0.000939,-0.005995,0.001788,0.001871,-0.00139,-0.817641,0.28097,0.050267,0.118494,0.064292,10.606061,36.746212,6.705647,-4.743903,-1.739575,0.044087,0.034974,0.031849,0.00022,-0.000095,0,0,-0,-0.11091,0.021595,0.001367,0.025503,0.00421,8.638132,25.770884,Spots
