# Tr2d export from 2017-01-18 12:04:22
# t, id, area, com_x, com_y, angle, r1, r2
  5, 14,984,133.4593,154.3455, -0.5485, 25.5895, 12.0380
  5, 15,950, 37.8484,116.3474,  1.5160, 24.8582, 11.3681
  5, 16,878,481.0831,113.4510,  0.9597, 21.8599, 12.6879
  5, 17,895,406.0212,224.9788,  1.6844, 21.5327, 12.6990
  5, 18, 75,160.1867,  1.3733,  0.0082, 11.6869,  2.6342
  5, 19,979,215.5628,182.8233,  0.6356, 24.5066, 12.2049
  6,  0,543,398.2118,139.3278,  1.7197, 15.8603, 10.1633
  6,  1,555,405.1550, 97.3532,  1.7491, 16.0543, 10.0099
  6,  2,521,335.2917, 94.7083,  1.7326, 15.8588, 10.1286
  6,  3,580,198.6621,167.0759,  0.9235, 15.1843, 12.1276
  6,  4,553,227.3526, 78.6908,  1.3830, 15.7018, 10.3835
  6,  5,578,420.5779,205.2180,  2.2299, 16.3621, 10.6734
  6,  6,427,255.1686, 15.4988,  0.8753, 15.2799,  8.4293
  6,  7,492,469.9553, 89.5386,  0.8582, 16.2007,  9.5666
  6,  8,510,487.7863,183.6510,  2.0914, 15.0992, 10.5068
  6,  9,570,278.6737,238.2491,  1.8721, 15.2434, 12.5783
  6, 10,479,291.8852,166.8121, -0.3944, 14.2652, 10.6893
  6, 11,494, 70.0668,214.5081, -0.0747, 16.1418,  8.8607
  6, 12,478, 38.0544, 89.0983,  1.3798, 15.7675,  8.8620
  6, 13,509, 23.3988,210.8389,  0.2515, 16.3553,  9.1735
  6, 14,247,143.2915,  4.4089,  0.0829, 14.7522,  5.9280
  6, 15,318,200.5912,247.7264,  0.4243, 13.5003,  7.3806
  6, 16,474,123.8101, 78.3882, -0.2379, 14.9675,  9.6529
  6, 17,534,335.9401,155.4532, -0.0995, 16.7656,  9.4445
  6, 18,491,495.5132,124.5295,  0.7558, 14.4263, 10.0889
  6, 19,567,363.5926,240.5732,  0.5869, 16.0214, 11.1152
  6, 20,570,470.7368, 34.9509,  0.3177, 16.5755, 10.1930
  6, 21,489,335.6585,210.2209,  1.3100, 14.6852,  9.8673
  6, 22,411,171.1873, 58.4891, -0.4969, 15.5316,  7.8401
  6, 23,514,232.7315,199.5525,  0.5789, 16.1318,  9.4576
  6, 24,525, 15.6438, 31.0705, -0.3973, 14.5939, 10.4363
  6, 25,474,154.5042,132.8080, -0.4948, 13.8707, 10.4252
  6, 26,482,355.2510, 52.7448,  1.7813, 14.2883, 10.0483
  6, 27,468,476.2927,224.8077,  1.6214, 14.9620,  9.5214
  6, 28,543,237.0939,122.4401,  1.2143, 16.3755,  9.9953
  6, 29,478, 37.5837,138.8515,  1.7924, 14.8696,  9.2879
  6, 30,386,413.3601,245.5415,  0.5490, 11.2765, 10.7975
  6, 31,487,115.3121,163.2587, -0.6461, 13.3585, 11.7146
  6, 32,427,286.6276, 53.6674,  0.7380, 15.7736,  8.3142
  6, 33,471, 60.7686, 12.6752, -0.1132, 14.9003,  9.1098
  6, 34,190,327.6316,  4.9316,  0.2459,  9.5763,  6.3077
  6, 35,222,408.6802,  4.4685, -0.1322, 12.4934,  6.0272
  6, 36,513,170.8616,217.0994,  0.7047, 16.2902,  9.6243
  7,  0,403,347.6005,147.5931, -0.5806, 11.9057,  9.9798
  7,  1,387,490.4703,167.8889,  2.1308, 11.8598,  9.3588
  7,  2,453,361.9536, 40.1148,  1.7451, 16.1251,  8.4492
  7,  3,391,335.7187,194.3606,  1.1354, 13.0362,  8.6657
  7,  4,412,288.3422,158.7670,  0.4258, 12.9922,  9.4369
  7,  5,419,461.4033, 18.1742,  0.7804, 13.9925,  9.2499
  7,  6,423, 89.4657,243.1135, -0.2902, 13.6694,  9.8858
  7,  7,355,  8.9352, 25.4254,  1.4555, 11.7455,  9.2614
  7,  8,387,405.3101, 77.9406,  1.8164, 13.5148,  8.5573
  7,  9,111,331.3694,  3.2162,  0.1339,  8.4354,  4.9752
  7, 10,356,496.3455,120.9691,  0.0715, 12.4594,  8.4612
  7, 11,424,462.2807, 74.9269,  1.2462, 15.5082,  8.2957
  7, 12,347,228.8876, 60.3343, -0.6774, 10.6318,  9.2688
  7, 13,367,401.9210,139.5123,  1.5818, 12.3590,  8.4548
  7, 14,360, 66.7194,  8.2972,  0.4317, 11.6436,  9.1103
  7, 15,539, 76.2597,201.7328,  1.9939, 13.2155, 12.4643
  7, 16,427,194.4684,151.9297,  1.6634, 13.2285,  9.3295
  7, 17,400,238.4250,192.3850,  0.8216, 13.0818,  8.9592
  7, 18, 44,510.0227, 30.7955,  1.5691,  8.9170,  1.9705
  7, 19,407,181.0565, 48.0541,  2.0078, 14.9504,  8.4528
  7, 20, 77,401.7792,  2.6364,  0.0867,  7.3449,  4.4339
  7, 21,317,207.9495,245.4196,  0.7374, 11.6703,  7.7922
  7, 22,270,422.8111,247.5148,  2.2494, 10.0628,  8.4004
  7, 23,137,140.7737,  3.7080,  0.2480, 11.1509,  4.6952
  7, 24,398,160.3819,116.5930,  1.0390, 11.0315, 10.3266
  7, 25,541, 14.2625,197.1201,  0.7742, 16.8164,  9.9946
  7, 26,394,336.4822, 94.8046,  1.2480, 13.6457,  8.4575
  7, 27,392,482.5791,227.9821,  1.1723, 15.5988,  8.0392
  7, 28,461,109.5531,154.0000,  1.8434, 13.3743, 10.0163
  7, 29,445,166.9708,201.6315,  0.5733, 14.6641,  8.8949
  7, 30,463,238.3931,117.2052,  1.1658, 14.6238,  9.7177
  7, 31,471,378.0127,233.2399,  0.6517, 14.0209,  9.9126
  7, 32,406, 38.9803,132.0911,  1.8749, 13.6565,  8.8317
  7, 33,423,121.8676, 71.9905,  0.6873, 13.4201,  9.7437
  7, 34,524,286.2767,224.5706,  1.2622, 15.9169, 12.0914
  7, 35,464,430.9806,190.0409,  1.5991, 15.7824,  9.1287
  7, 36,417, 39.1343, 72.1631,  1.5652, 12.6416,  9.9017
  7, 37,360,295.9472, 50.4667,  1.1567, 13.8796,  7.4828
  7, 38,254,257.4055,  7.4528,  0.8591, 11.3103,  7.7999
